Latitude,Longitude,District,Community Area,hour,day_of_week,month,is_weekend,primary_type_encoded,Arrest,Domestic
41.92020683,-87.724197172,25.0,22.0,20,0,8,0,3,0,0
41.809578412,-87.602469089,2.0,39.0,19,0,8,0,10,0,1
41.823770918,-87.617144592,2.0,,23,5,10,1,6,0,0
41.716162863,-87.573325519,4.0,51.0,2,3,1,0,0,0,1
41.764265413,-87.628484267,7.0,69.0,4,3,3,0,0,0,1
41.899923966,-87.629139529,18.0,8.0,8,1,2,0,1,0,1
41.78884005,-87.619073616,2.0,40.0,8,3,1,0,5,0,0
41.740119431,-87.721611442,8.0,70.0,22,4,5,0,3,0,0
41.879633871,-87.707973888,11.0,,13,4,10,0,5,1,0
41.83805499,-87.645458414,9.0,60.0,9,6,4,1,3,1,0
41.870896649,-87.711598449,11.0,27.0,8,1,2,0,5,0,0
41.97008868,-87.762690091,16.0,11.0,17,4,7,0,3,0,0
41.97099629,-87.715880832,17.0,14.0,12,6,5,1,5,0,1
41.778957342,-87.78131148,8.0,64.0,15,0,7,0,2,0,0
41.834690813,-87.613705645,2.0,35.0,11,5,1,1,14,0,0
41.891023035,-87.619141016,18.0,8.0,18,4,5,0,13,1,0
41.900982143,-87.642968838,18.0,,2,1,5,0,5,0,0
41.728737634,-87.602997802,6.0,44.0,21,0,10,0,14,0,1
41.909895889,-87.725588389,25.0,23.0,11,3,10,0,19,1,0
41.765484824,-87.579356335,3.0,43.0,14,3,9,0,7,1,0
41.949569021,-87.813283282,16.0,17.0,1,5,7,1,7,1,0
41.889458226,-87.620370412,18.0,,21,2,2,0,13,1,0
41.688908853,-87.643340817,22.0,,19,6,10,1,12,0,0
41.983601596,-87.768329253,16.0,11.0,1,6,10,1,5,1,1
41.746480864,-87.642702728,6.0,71.0,12,3,8,0,7,1,0
41.942257928,-87.669951491,19.0,6.0,16,4,1,0,10,0,1
41.752883321,-87.55552491,4.0,43.0,19,4,8,0,20,1,0
41.780816987,-87.701242788,8.0,66.0,23,5,7,1,5,0,1
41.830890037,-87.635503335,9.0,34.0,23,1,6,0,5,1,0
41.879367648,-87.720696473,11.0,26.0,16,1,3,0,3,0,0
41.95119242,-87.679883771,19.0,5.0,4,3,4,0,3,0,0
41.905008659,-87.721502029,25.0,23.0,11,0,4,0,7,1,0
41.765935206,-87.671133236,7.0,67.0,20,0,7,0,5,0,0
41.972101049,-87.654899332,20.0,3.0,2,3,11,0,26,0,0
41.970155159,-87.657648506,20.0,3.0,18,0,10,0,3,0,0
41.750324322,-87.666166809,6.0,71.0,22,4,9,0,5,0,0
41.814345252,-87.723829326,8.0,57.0,19,6,7,1,3,0,0
41.757583951,-87.634472844,6.0,69.0,8,5,1,1,14,1,1
41.947225886,-87.655545441,19.0,6.0,22,4,7,0,5,0,0
41.998250177,-87.693558879,24.0,2.0,0,2,12,0,3,0,0
41.905360864,-87.72737266,25.0,23.0,11,6,8,1,5,0,1
41.781296636,-87.615652218,3.0,42.0,19,5,1,1,15,0,0
41.767962645,-87.6578316,7.0,67.0,23,0,8,0,5,0,1
41.737115609,-87.57165693,4.0,48.0,10,1,11,0,5,0,1
41.807285018,-87.60432545,2.0,39.0,19,1,7,0,4,0,0
41.810349169,-87.61283371,2.0,38.0,23,1,8,0,4,0,0
41.691725173,-87.633912026,22.0,49.0,13,2,9,0,7,1,0
41.88060406,-87.736089224,11.0,26.0,21,1,1,0,7,1,0
41.96193353,-87.72177399,17.0,14.0,14,4,4,0,14,0,1
41.751375148,-87.55895132,4.0,,21,0,1,0,5,0,0
41.888657083,-87.749165751,15.0,25.0,15,0,8,0,14,1,0
41.808714985,-87.604356922,2.0,39.0,15,5,7,1,12,0,0
